id,approach1,approach2,approach3
1,3,2,1
2,0,0,0
3,2,3,0
4,4,4,1
5,2,2,1
6,4,4,0
7,2,2,0
8,3,3,0
9,3,3,1
10,1,1,1
11,2,1,0
12,1,1,4
13,0,1,0
14,2,2,2
15,2,2,0
16,1,3,1
17,4,4,3
18,4,4,0
19,0,0,0
20,4,4,0
21,2,2,1
22,2,1,0
23,3,3,1
24,1,2,0
25,3,3,0
26,3,3,0
27,3,3,2
28,2,4,1
29,1,1,0
30,4,2,0
31,1,3,0
32,2,2,2
33,3,3,0
34,3,3,2
35,2,3,0
36,1,1,1
37,0,2,3
38,4,3,2
39,2,1,2
40,2,0,1
41,2,2,0
42,2,2,0
43,0,1,1
44,0,0,2
45,3,3,2
46,3,2,1
47,2,1,2
48,0,0,0
49,1,0,1
50,1,0,0
51,4,3,2
52,0,0,0
53,2,0,0
54,0,0,0
55,1,1,0
56,3,2,0
57,0,0,0
58,0,1,0
59,4,4,4
60,1,4,0
61,1,1,0
62,4,2,0
63,0,4,0
64,0,0,0
65,0,1,1
66,0,1,0
67,1,1,0
68,0,0,1
69,0,0,0
70,0,0,0
71,2,3,0
72,0,3,0
73,1,1,1
74,1,1,0
75,4,0,0
76,0,0,0
77,3,3,0
78,2,0,0
79,4,4,0
80,4,4,0
81,0,3,0
82,1,2,1
83,4,0,4
84,3,3,2
85,3,0,0
86,3,3,0
87,0,0,0
88,2,2,4
89,0,0,0
90,0,1,0
91,0,0,0
92,3,4,2
93,2,2,0
94,4,4,0
95,0,0,0
96,0,0,0
97,4,4,0
98,0,0,0
99,0,0,0
100,0,0,0
