id,approach1,approach2,approach3
1,3,3,3
2,0,0,2
3,1,1,0
4,3,3,0
5,4,4,0
6,0,3,3
7,2,2,3
8,4,4,0
9,4,4,0
10,0,0,0
11,3,3,1
12,3,2,4
13,0,2,0
14,4,4,2
15,4,4,4
16,3,2,0
17,4,4,4
18,4,4,0
19,0,0,0
20,4,4,2
21,4,4,0
22,2,0,0
23,4,4,2
24,4,4,1
25,4,4,2
26,2,2,0
27,4,4,4
28,4,4,4
29,3,3,2
30,4,4,2
31,4,2,3
32,4,4,4
33,3,2,1
34,3,3,3
35,4,3,0
36,0,0,0
37,0,0,0
38,4,4,1
39,2,2,3
40,0,0,0
41,4,4,2
42,3,3,4
43,0,0,1
44,0,0,3
45,4,4,4
46,1,2,1
47,1,1,1
48,0,0,0
49,3,0,3
50,1,1,1
51,1,1,1
52,0,0,0
53,4,4,0
54,3,3,2
55,3,3,1
56,4,4,4
57,4,4,4
58,4,4,2
59,4,4,4
60,1,3,0
61,1,2,0
62,2,3,1
63,4,4,2
64,4,4,0
65,4,4,4
66,3,2,1
67,0,0,0
68,4,2,2
69,4,4,4
70,1,1,0
71,0,0,0
72,4,4,4
73,0,1,4
74,3,3,1
75,4,2,1
76,1,1,1
77,4,4,1
78,3,3,2
79,4,4,4
80,4,4,0
81,1,3,0
82,3,1,1
83,4,4,4
84,4,4,4
85,4,4,4
86,4,4,4
87,1,4,2
88,4,4,4
89,4,4,0
90,4,4,3
91,2,1,0
92,2,2,2
93,4,4,4
94,4,4,3
95,4,4,4
96,2,0,0
97,4,4,4
98,0,0,0
99,1,1,0
100,3,1,0
