id,approach1,approach2,approach3
1,1,1,0
2,0,0,0
3,0,0,0
4,4,4,0
5,2,0,0
6,4,4,3
7,0,0,0
8,2,4,0
9,2,2,0
10,0,0,0
11,0,0,0
12,0,0,4
13,0,1,0
14,3,3,1
15,3,3,0
16,0,2,0
17,4,4,0
18,4,4,0
19,0,0,0
20,4,4,0
21,1,1,0
22,0,0,0
23,1,1,0
24,0,4,0
25,3,3,0
26,2,2,0
27,0,0,1
28,1,3,0
29,1,1,0
30,4,1,0
31,2,2,0
32,3,3,3
33,3,3,0
34,1,1,1
35,2,2,0
36,0,0,0
37,0,0,1
38,1,3,0
39,2,0,3
40,0,0,0
41,2,2,0
42,2,2,0
43,0,0,0
44,0,0,0
45,2,2,0
46,0,2,0
47,2,0,0
48,0,1,0
49,1,0,1
50,0,1,0
51,1,1,0
52,0,0,0
53,2,1,0
54,0,0,0
55,2,2,0
56,4,2,1
57,0,0,0
58,0,2,0
59,2,2,4
60,2,4,0
61,0,0,0
62,2,1,0
63,0,4,0
64,1,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,4
69,0,0,0
70,2,2,0
71,0,0,0
72,0,2,0
73,1,1,1
74,2,2,0
75,3,1,0
76,0,0,0
77,4,4,0
78,2,0,0
79,1,1,0
80,4,4,0
81,0,2,0
82,0,1,0
83,4,1,4
84,3,3,3
85,4,4,0
86,3,3,0
87,0,2,0
88,3,3,3
89,4,4,0
90,0,4,0
91,0,0,0
92,4,4,1
93,4,4,0
94,4,4,0
95,2,2,0
96,1,0,0
97,4,4,0
98,2,0,0
99,2,2,0
100,2,0,1
