id,approach1,approach2,approach3
1,3,3,0
2,0,0,0
3,1,4,0
4,4,4,0
5,2,1,0
6,2,2,1
7,2,2,1
8,1,1,0
9,3,3,1
10,0,0,0
11,3,0,0
12,2,1,3
13,0,1,0
14,3,3,0
15,2,2,1
16,0,0,0
17,2,2,2
18,4,4,0
19,0,1,0
20,4,4,0
21,2,2,0
22,0,1,0
23,1,1,1
24,1,4,1
25,3,3,0
26,2,2,0
27,3,3,3
28,4,4,0
29,3,3,0
30,4,4,0
31,3,3,2
32,2,2,3
33,0,0,0
34,3,4,2
35,2,2,0
36,0,2,0
37,1,1,2
38,2,2,0
39,2,1,3
40,1,1,0
41,2,2,0
42,2,2,0
43,0,0,0
44,0,0,0
45,4,4,1
46,2,3,2
47,2,1,1
48,1,2,0
49,2,0,2
50,0,0,0
51,4,3,1
52,0,0,0
53,3,2,0
54,0,0,0
55,2,2,0
56,4,3,3
57,0,0,0
58,0,2,0
59,4,4,4
60,2,4,0
61,2,2,0
62,2,2,0
63,0,4,0
64,2,1,0
65,0,4,4
66,1,2,1
67,2,2,1
68,2,2,3
69,2,4,0
70,0,0,0
71,2,3,2
72,0,3,0
73,1,2,1
74,2,2,0
75,3,2,1
76,0,1,0
77,4,4,0
78,3,2,0
79,4,4,0
80,4,4,0
81,0,1,0
82,1,4,1
83,4,4,4
84,3,3,3
85,3,2,1
86,3,3,2
87,2,3,1
88,4,4,4
89,4,4,0
90,3,3,0
91,0,0,0
92,1,4,1
93,4,4,0
94,4,4,0
95,3,3,1
96,0,0,1
97,4,4,0
98,2,2,0
99,1,1,0
100,2,0,1
