id,approach1,approach2,approach3
1,2,2,2
2,0,0,1
3,2,3,2
4,4,4,2
5,3,2,1
6,4,4,3
7,4,4,3
8,4,4,1
9,4,4,2
10,2,2,2
11,2,2,1
12,2,4,4
13,0,2,1
14,4,4,2
15,4,4,3
16,0,2,0
17,4,4,3
18,4,4,1
19,1,0,1
20,3,3,1
21,4,4,1
22,0,0,0
23,2,2,4
24,1,4,0
25,4,3,1
26,4,4,0
27,4,4,3
28,3,4,2
29,1,1,1
30,4,2,1
31,3,4,1
32,4,3,3
33,4,4,2
34,4,4,4
35,3,3,1
36,2,4,2
37,2,4,4
38,4,3,0
39,3,3,4
40,3,2,1
41,4,4,2
42,3,3,2
43,1,3,2
44,2,2,2
45,4,3,3
46,2,4,2
47,3,2,3
48,3,1,1
49,2,1,2
50,3,2,1
51,4,3,2
52,3,2,2
53,3,3,1
54,3,2,2
55,3,3,2
56,3,3,3
57,2,2,2
58,3,3,2
59,4,4,4
60,3,4,1
61,2,3,2
62,4,3,2
63,3,2,3
64,4,4,3
65,3,3,3
66,1,3,2
67,3,2,2
68,2,2,4
69,3,4,4
70,3,3,2
71,3,4,2
72,2,4,2
73,2,3,3
74,3,3,2
75,3,2,2
76,2,2,2
77,4,4,2
78,4,3,1
79,4,3,3
80,3,3,1
81,1,4,2
82,2,4,2
83,4,3,4
84,4,4,4
85,4,4,2
86,3,3,3
87,2,3,2
88,4,4,4
89,3,3,1
90,4,4,2
91,1,4,1
92,4,4,1
93,4,4,2
94,4,4,2
95,3,3,2
96,3,2,1
97,4,4,1
98,3,2,2
99,3,3,2
100,3,1,2
